2015/05/28 13:56:11:361  Reconnect delay set to 2. Minimum reconnect interval set to 5
2015/05/28 13:56:11:372  HipChatFileLogger: Creating new log file: log-2015-05-28-1.txt
2015/05/28 13:56:11:694  Showing window: LoginWindowController - orderFront: YES
2015/05/28 13:56:11:798  Updating login form credentials to current stored values
2015/05/28 13:56:11:798  Retrieving password for email: mgoodwin@financeit.io and service: chat.hipchat.com
2015/05/28 13:56:11:870  Retrieving password for email: mgoodwin@financeit.io and service: chat.hipchat.com
2015/05/28 13:56:11:883  Updating login form credentials to current stored values
2015/05/28 13:56:11:884  Connecting with email mgoodwin@financeit.io
2015/05/28 13:56:11:884  Set connectHost to chat-main.hipchat.com
2015/05/28 13:56:11:884  User information set - initiating connection
2015/05/28 13:56:11:884  Connect returned success - waiting for response...
2015/05/28 13:56:11:913  Connecting to IP v4: 184.72.164.204:5222 -- v6: (null):0
2015/05/28 13:56:11:941  -[HipChatApp xmppStreamDidStartNegotiation:] Stream negotiations started
2015/05/28 13:56:12:345  -[HipChatApp xmppStreamDidConnect:] Stream negotiations complete, starting authentication
2015/05/28 13:56:12:345  -[HipChatApp xmppAuthenticationHandler] Authenticating via saved email and password
2015/05/28 13:56:12:404  Hiding window: LoginWindowController
2015/05/28 13:56:12:405  Storing sign in email and password
2015/05/28 13:56:12:405  Storing password for email: mgoodwin@financeit.io and service: chat-main.hipchat.com
2015/05/28 13:56:12:408  Showing window: MainWindowController - orderFront: YES
2015/05/28 13:56:12:588  Loaded cached data from store: /Users/mike/Library/HipChat/mgoodwin@financeit.io/roster-store.json
2015/05/28 13:56:12:592  Loading emoticons from persistent store and adding to Linkify
2015/05/28 13:56:12:660  Loaded cached data from store: /Users/mike/Library/HipChat/mgoodwin@financeit.io/emoticons-store.json
2015/05/28 13:56:12:668  Roster finished loading - populating display names with 78 users
2015/05/28 13:56:12:672  Cached users...marking roster loaded in HipChatApp
2015/05/28 13:56:12:674  Checking fully loaded...
2015/05/28 13:56:12:674  Not yet fully loaded - not triggering fullyLoaded event
2015/05/28 13:56:12:674  Got response for startup info
